Time (s),Position (in),Position Motor Current,PM Current PID Output,MM Current PID Output,Mix Motor Current,Desired counts
0,0,0,0,0,0,30
0.1,0,0,0,0,0,30
0.2,0,0,0,0,0,30
0.3,0,0,0,0,0,30
0.4,0.015,0.48,0,0,0.1,30
0.5,0.092,1.24,0,0,0,30
0.6,0.246,1.68,0,0,0,30
0.7,0.454,1.77,0,0,0,30
0.8,0.69,1.72,0,0,0,30
0.9,0.94,1.63,0,0,0,30
1,1.204,1.52,0,0,0,30
1.1,1.47,1.38,0,0,0,30
1.2,1.737,1.29,0,0,0,30
1.3,2.003,1.24,0,0,0,30
1.4,2.268,1.24,0,0,0,30
1.5,2.535,1.24,0,0,0,30
1.6,2.799,1.24,0,0,0,30
1.7,3.066,1.24,0,0,0,30
1.8,3.331,1.17,0,0,0,30
1.9,3.597,1.17,0,0,0,30
2,3.863,1.17,0,0,0,30
2.1,4.13,1.17,0,0,0,30
2.2,4.396,1.17,0,0,0,30
2.3,4.662,1.17,0,0,0,30
2.4,4.928,1.17,0,0,0,30
2.5,5.188,1.38,0,0,0,30
2.6,5.447,1.47,0,0,0,30
2.7,5.708,1.59,0,0,0,30
2.8,5.967,1.63,0,0,0,30
2.9,6.225,1.63,0,0,0,30
3,6.484,1.68,0,0,0,30
3.1,6.744,1.68,0,0,0,30
3.2,7.007,1.52,0,0,0,30
3.3,7.272,1.43,0,0,0,30
3.4,7.536,1.38,0,0,0,30
3.5,7.801,1.33,0,0,0,30
3.6,8.067,1.29,0,0,0,6
3.7,8.331,1.29,0,0,0,6
3.8,8.597,1.29,0,0,0,6
3.9,8.862,1.29,0,0,0,6
4,9.125,1.29,0,0,0,6
4.1,9.391,1.24,0,0,0,6
4.2,9.655,1.24,0,0,0,6
4.3,9.921,1.24,0,0,0,6
4.4,10.185,1.24,0,0,0,6
4.5,10.445,1.13,0,0,0,6
4.6,10.696,1.08,0,0,0,6
4.7,10.935,1.08,0,0,0,6
4.8,11.156,1.08,0,0,0,9
4.9,11.356,1.03,0,0,0,9
5,11.515,0.94,0,0,0,9
5.1,11.624,0.78,0,0,0,9
5.2,11.68,0.69,0,0,0,9
5.3,11.699,0.74,0,0,0,9
5.4,11.715,1.03,0,0,0,9
5.5,11.752,1.33,0,0,0,9
5.6,11.812,1.52,0,0,0.1,9
5.7,11.881,1.52,0,0,0,3
5.8,11.945,1.33,0,0,1,3
5.9,11.98,1.13,0,0,1,3
6,11.991,1.08,0,0,0.8,3
6.1,11.993,1.08,0,0,0.3,3
6.2,11.996,1.17,0,0,0.1,3
6.3,12.004,1.29,0,0,0.1,3
6.4,12.024,1.33,0,0,0.2,3
6.5,12.054,1.38,0,0,0.1,3
6.6,12.084,1.33,0,0,0.2,3
6.7,12.11,1.29,0,0,0.2,3
6.8,12.13,1.29,0,0,0.1,3
6.9,12.143,1.17,0,0,0.2,3
7,12.156,1.29,0,0,0.2,3
7.1,12.176,1.33,0,0,0.1,3
7.2,12.195,1.33,0,0,0.2,3
7.3,12.216,1.33,0,0,0,3
7.4,12.238,1.33,0,0,0.2,3
7.5,12.258,1.33,0,0,0.2,3
7.6,12.276,1.29,0,0,0,3
7.7,12.294,1.33,0,0,0.2,3
7.8,12.311,1.33,0,0,0,3
7.9,12.327,1.33,0,0,0.2,3
8,12.348,1.33,0,0,0.6,3
8.1,12.371,1.38,0,0,0.1,3
8.2,12.397,1.38,0,0,0.2,3
8.3,12.424,1.38,0,0,0.1,3
8.4,12.446,1.38,0,0,0.6,3
8.5,12.468,1.33,0,0,0.2,3
8.6,12.482,1.33,0,0,0.2,3
8.7,12.495,1.33,0,0,0.2,3
8.8,12.507,1.33,0,0,0.1,3
8.9,12.525,1.38,0,0,0.7,3
9,12.547,1.43,0,0,0.3,3
9.1,12.576,1.47,0,0,0.2,3
9.2,12.606,1.43,0,0,0.1,3
9.3,12.63,1.38,0,0,0.3,3
9.4,12.648,1.38,0,0,0.3,3
9.5,12.665,1.38,0,0,0.1,3
9.6,12.684,1.33,0,0,0.2,3
9.7,12.7,1.33,0,0,0.1,3
9.8,12.718,1.38,0,0,0.2,3
9.9,12.74,1.43,0,0,0.2,3
10,12.763,1.33,0,0,0.1,3
10.1,12.777,1.33,0,0,0.2,3
10.2,12.794,1.38,0,0,0.2,3
10.3,12.815,1.43,0,0,0.2,3
10.4,12.832,1.43,0,0,0.3,3
10.5,12.849,1.47,0,0,0.3,3
10.6,12.868,1.52,0,0,0.4,3
10.7,12.883,1.52,0,0,0.3,3
10.8,12.893,1.63,0,0,0.2,3
10.9,12.907,1.68,0,0,0.2,3
11,12.927,1.72,0,0,0.3,3
11.1,12.939,1.77,0,0,0.4,3
11.2,12.948,1.89,0,0,0.4,3
11.3,12.964,1.98,0,0,0.3,3
11.4,12.985,1.98,0,0,0.5,3
11.5,12.998,2.02,0,0,0.6,3
11.6,13.008,2.18,0,0,0.6,3
11.7,13.028,2.28,0,0,0.7,3
11.8,13.047,2.32,0,0,0.8,3
11.9,13.058,2.48,0,0,0.9,3
12,13.07,2.58,0,0,0.9,3
12.1,13.09,2.62,0,0,1,3
12.2,13.105,2.67,0,0,1,3
12.3,13.115,2.76,0,0,1,3
12.4,13.13,2.88,0,0,0.9,3
12.5,13.149,2.92,0,0,0.9,3
12.6,13.164,2.97,0,0,0.9,3
12.7,13.172,3.01,0,0,0.9,3
12.8,13.186,3.22,0,0,0.8,3
12.9,13.208,3.27,0,0,0.8,3
13,13.226,3.36,0,0,0.9,3
13.1,13.234,3.43,0,0,0.9,3
13.2,13.245,3.56,0,0,0.9,3
13.3,13.272,3.61,0,0,1.1,3
13.4,13.288,3.61,0,0,1.3,3
13.5,13.299,3.66,0,0,1.4,3
13.6,13.321,3.77,-1,0,1.6,3
13.7,13.342,3.77,-1,0,1.8,3
13.8,13.351,3.86,-2,0,1.9,3
13.9,13.373,3.91,-3,0,1.9,3
14,13.4,3.96,-3,0,2.1,3
14.1,13.413,3.96,-4,0,2.1,3
14.2,13.434,4,-6,0,2.2,3
14.3,13.461,3.96,-7,0,2.6,3
14.4,13.485,4,-9,0,2.9,3
14.5,13.511,3.96,-10,0,3.2,3
14.6,13.527,4.07,-12,0,3.2,3
14.7,13.553,4.16,-14,0,3.2,3
14.8,13.564,4.21,-16,0,3.2,3
14.9,13.564,4.3,-18,0,3.2,3
15,13.582,4.42,-20,0,3.2,3
15.1,13.605,4.51,-22,0,3.5,3
15.2,13.619,4.51,-24,0,3.8,3
15.3,13.622,4.6,-26,0,4,3
15.4,13.627,4.6,-28,0,4.1,3
15.5,13.633,4.55,-30,0,4.3,3
15.6,13.637,4.55,-32,0,4.3,3
15.7,13.645,4.55,-34,0,4.3,3
15.8,13.655,4.51,-36,0,4.2,3
15.9,13.668,4.46,-38,0,4.2,3
16,13.674,4.42,-40,0,4.1,3
16.1,13.676,4.42,-42,0,3.9,3
16.2,13.681,4.37,-44,0,3.7,3
16.3,13.686,4.3,-46,0,3.5,3
16.4,13.693,4.3,-48,0,3.1,3
16.5,13.705,4.26,-50,0,2.8,3
16.6,13.725,4.16,-52,0,2.7,3
16.7,13.743,4.12,-54,0,2.9,3
16.8,13.75,4.12,-56,0,2.9,3
16.9,13.753,4.07,-57,0,2.6,3
17,13.768,4,-58,0,2.7,3
17.1,13.794,3.86,-58,0,2.9,3
17.2,13.812,3.91,-58,0,3.2,3
17.3,13.829,3.86,-58,0,3.3,3
17.4,13.851,3.86,-59,0,3.4,3
17.5,13.866,3.86,-59,0,3.4,3
17.6,13.876,3.86,-60,0,3.1,3
17.7,13.891,3.86,-60,0,2.9,3
17.8,13.915,3.82,-60,0,3,3
17.9,13.93,3.86,-60,0,3.1,3
18,13.943,3.86,-61,0,2.9,3
18.1,13.963,3.86,-61,0,2.7,3
18.2,13.979,3.82,-61,0,2.8,3
