Time (s),Position (in)
0,0
0.1,0
0.2,0
0.3,0
0.4,0.015
0.5,0.092
0.6,0.246
0.7,0.454
0.8,0.69
0.9,0.94
1,1.204
1.1,1.47
1.2,1.737
1.3,2.003
1.4,2.268
1.5,2.535
1.6,2.799
1.7,3.066
1.8,3.331
1.9,3.597
2,3.863
2.1,4.13
2.2,4.396
2.3,4.662
2.4,4.928
2.5,5.188
2.6,5.447
2.7,5.708
2.8,5.967
2.9,6.225
3,6.484
3.1,6.744
3.2,7.007
3.3,7.272
3.4,7.536
3.5,7.801
3.6,8.067
3.7,8.331
3.8,8.597
3.9,8.862
4,9.125
4.1,9.391
4.2,9.655
4.3,9.921
4.4,10.185
4.5,10.445
4.6,10.696
4.7,10.935
4.8,11.156
4.9,11.356
5,11.515
5.1,11.624
5.2,11.68
5.3,11.699
5.4,11.715
5.5,11.752
5.6,11.812
5.7,11.881
5.8,11.945
5.9,11.98
6,11.991
6.1,11.993
6.2,11.996
6.3,12.004
6.4,12.024
6.5,12.054
6.6,12.084
6.7,12.11
6.8,12.13
6.9,12.143
7,12.156
7.1,12.176
7.2,12.195
7.3,12.216
7.4,12.238
7.5,12.258
7.6,12.276
7.7,12.294
7.8,12.311
7.9,12.327
8,12.348
8.1,12.371
8.2,12.397
8.3,12.424
8.4,12.446
8.5,12.468
8.6,12.482
8.7,12.495
8.8,12.507
8.9,12.525
9,12.547
9.1,12.576
9.2,12.606
9.3,12.63
9.4,12.648
9.5,12.665
9.6,12.684
9.7,12.7
9.8,12.718
9.9,12.74
10,12.763
10.1,12.777
10.2,12.794
10.3,12.815
10.4,12.832
10.5,12.849
10.6,12.868
10.7,12.883
10.8,12.893
10.9,12.907
11,12.927
11.1,12.939
11.2,12.948
11.3,12.964
11.4,12.985
11.5,12.998
11.6,13.008
11.7,13.028
11.8,13.047
11.9,13.058
12,13.07
12.1,13.09
12.2,13.105
12.3,13.115
12.4,13.13
12.5,13.149
12.6,13.164
12.7,13.172
12.8,13.186
12.9,13.208
13,13.226
13.1,13.234
13.2,13.245
13.3,13.272
13.4,13.288
13.5,13.299
13.6,13.321
13.7,13.342
13.8,13.351
13.9,13.373
14,13.4
14.1,13.413
14.2,13.434
14.3,13.461
14.4,13.485
14.5,13.511
14.6,13.527
14.7,13.553
14.8,13.564
14.9,13.564
15,13.582
15.1,13.605
15.2,13.619
15.3,13.622
15.4,13.627
15.5,13.633
15.6,13.637
15.7,13.645
15.8,13.655
15.9,13.668
16,13.674
16.1,13.676
16.2,13.681
16.3,13.686
16.4,13.693
16.5,13.705
16.6,13.725
16.7,13.743
16.8,13.75
16.9,13.753
17,13.768
17.1,13.794
17.2,13.812
17.3,13.829
17.4,13.851
17.5,13.866
17.6,13.876
17.7,13.891
17.8,13.915
17.9,13.93
18,13.943
18.1,13.963
18.2,13.979
18.3,13.99
18.4,14.005
